R360 000.00,,,,,,,,,360000,1500000,2450000,4799000,8900000
R470 000.00,,Column1,,,,,,,470000,1549000,2480000,5000000,9299000
R575 000.00,,,,,Kyalami estates areas (SQM): ,1655502,,,575000,1580000,2499000,5199000,9500000
R670 000.00,,Mean,4964961.09,,Number of houses: ,1006,,,670000,1595000,2500000,5200000,9800000
R779 000.00,,Standard Error,366371.6966,,,,,,779000,1599000,2650000,5400000,9980000
R786 286.00,,Median,3560000,,,Area value,Value,,786286,1626075,2750000,5450000,9995000
R790 000.00,,Mode,#N/A,,Median,2163.31,2717114.3,,790000,1749000,2910000,5499000,9999000
R850 000.00,,Standard Deviation,4241059.006,,Mean,3017.06,3789428.87,,850000,1799000,3199000,5499900,10500000
R860 000.00,,Sample Variance,1.80E+13,,95% confidnence,2603.67,3270206.6,,860000,1800000,3200000,5500000,10995000
R870 000.00,,Kurtosis,0.503225776,,Market opinion ,2513.97,3157543.02,,870000,1849000,3399000,5600000,11500000
R900 000.00,,Skewness,1.162094293,,Property area (SQM),1256,,,900000,1850000,3499000,5900000,11600000
R920 000.00,,Range,17639000,,,,,,920000,1899000,3500000,5980000,11900000
R930 000.00,,Minimum,360000,,,,,,930000,1900000,3540000,5999000,11980000
R950 000.00,,Maximum,17999000,,,,,,950000,1930000,3580000,6000000,11999000
R978 000.00,,Sum,665304786,,,,,,978000,1980000,3650000,6160000,12495000
R980 000.00,,Count,134,,,,,,980000,1990000,3800000,6250000,12500000
R1 020 000.00,,Confidence Level(95.0%),724669.0242,,,,,,1020000,1995000,3850000,6300000,12900000
R1 040 000.00,,,,,,,,,1040000,2000000,3990000,6450000,12950000
R1 100 000.00,,,,,,,,,1100000,2049000,3999000,6499000,12999000
R1 150 000.00,,,,,,,,,1150000,2089525,4000000,6500000,13499000
R1 170 000.00,,,,,,,,,1170000,2099000,4198000,6699000,13500000
R1 200 000.00,,,,,,,,,1200000,2200000,4250000,6800000,14499000
R1 250 000.00,,,,,,,,,1250000,2275000,4338000,7950000,15999000
R1 300 000.00,,,,,,,,,1300000,2299000,4395000,7990000,16500000
R1 350 000.00,,,,,,,,,1350000,2300000,4480000,7999000,16995000
R1 399 000.00,,,,,,,,,1399000,2350000,4499000,8499000,17999000
R1 499 000.00,,,,,,,,,1499000,2399000,4600000,8799000,
R1 500 000.00,,,,,,,,,,,,,
R1 549 000.00,,,,,,,,,,,,,
R1 580 000.00,,,,,,,,,,,,,
R1 595 000.00,,,,,,,,,,,,,
R1 599 000.00,,,,,,,,,,,,,
R1 626 075.00,,,,,,,,,,,,,
R1 749 000.00,,,,,,,,,,,,,
R1 799 000.00,,,,,,,,,,,,,
R1 800 000.00,,,,,,,,,,,,,
R1 849 000.00,,,,,,,,,,,,,
R1 850 000.00,,,,,,,,,,,,,
R1 899 000.00,,,,,,,,,,,,,
R1 900 000.00,,,,,,,,,,,,,
R1 930 000.00,,,,,,,,,,,,,
R1 980 000.00,,,,,,,,,,,,,
R1 990 000.00,,,,,,,,,,,,,
R1 995 000.00,,,,,,,,,,,,,
R2 000 000.00,,,,,,,,,,,,,
R2 049 000.00,,,,,,,,,,,,,
R2 089 525.00,,,,,,,,,,,,,
R2 099 000.00,,,,,,,,,,,,,
R2 200 000.00,,,,,,,,,,,,,
R2 275 000.00,,,,,,,,,,,,,
R2 299 000.00,,,,,,,,,,,,,
R2 300 000.00,,,,,,,,,,,,,
R2 350 000.00,,,,,,,,,,,,,
R2 399 000.00,,,,,,,,,,,,,
R2 450 000.00,,,,,,,,,,,,,
R2 480 000.00,,,,,,,,,,,,,
R2 499 000.00,,,,,,,,,,,,,
R2 500 000.00,,,,,,,,,,,,,
R2 650 000.00,,,,,,,,,,,,,
R2 750 000.00,,,,,,,,,,,,,
R2 910 000.00,,,,,,,,,,,,,
R3 199 000.00,,,,,,,,,,,,,
R3 200 000.00,,,,,,,,,,,,,
R3 399 000.00,,,,,,,,,,,,,
R3 499 000.00,,,,,,,,,,,,,
R3 500 000.00,,,,,,,,,,,,,
R3 540 000.00,,,,,,,,,,,,,
R3 580 000.00,,,,,,,,,,,,,
R3 650 000.00,,,,,,,,,,,,,
R3 800 000.00,,,,,,,,,,,,,
R3 850 000.00,,,,,,,,,,,,,
R3 990 000.00,,,,,,,,,,,,,
R3 999 000.00,,,,,,,,,,,,,
R4 000 000.00,,,,,,,,,,,,,
R4 198 000.00,,,,,,,,,,,,,
R4 250 000.00,,,,,,,,,,,,,
R4 338 000.00,,,,,,,,,,,,,
R4 395 000.00,,,,,,,,,,,,,
R4 480 000.00,,,,,,,,,,,,,
R4 499 000.00,,,,,,,,,,,,,
R4 600 000.00,,,,,,,,,,,,,
R4 799 000.00,,,,,,,,,,,,,
R5 000 000.00,,,,,,,,,,,,,
R5 199 000.00,,,,,,,,,,,,,
R5 200 000.00,,,,,,,,,,,,,
R5 400 000.00,,,,,,,,,,,,,
R5 450 000.00,,,,,,,,,,,,,
R5 499 000.00,,,,,,,,,,,,,
R5 499 900.00,,,,,,,,,,,,,
R5 500 000.00,,,,,,,,,,,,,
R5 600 000.00,,,,,,,,,,,,,
R5 900 000.00,,,,,,,,,,,,,
R5 980 000.00,,,,,,,,,,,,,
R5 999 000.00,,,,,,,,,,,,,
R6 000 000.00,,,,,,,,,,,,,
R6 160 000.00,,,,,,,,,,,,,
R6 250 000.00,,,,,,,,,,,,,
R6 300 000.00,,,,,,,,,,,,,
R6 450 000.00,,,,,,,,,,,,,
R6 499 000.00,,,,,,,,,,,,,
R6 500 000.00,,,,,,,,,,,,,
R6 699 000.00,,,,,,,,,,,,,
R6 800 000.00,,,,,,,,,,,,,
R7 950 000.00,,,,,,,,,,,,,
R7 990 000.00,,,,,,,,,,,,,
R7 999 000.00,,,,,,,,,,,,,
R8 499 000.00,,,,,,,,,,,,,
R8 799 000.00,,,,,,,,,,,,,
R8 900 000.00,,,,,,,,,,,,,
R9 299 000.00,,,,,,,,,,,,,
R9 500 000.00,,,,,,,,,,,,,
R9 800 000.00,,,,,,,,,,,,,
R9 980 000.00,,,,,,,,,,,,,
R9 995 000.00,,,,,,,,,,,,,
R9 999 000.00,,,,,,,,,,,,,
R10 500 000.00,,,,,,,,,,,,,
R10 995 000.00,,,,,,,,,,,,,
R11 500 000.00,,,,,,,,,,,,,
R11 600 000.00,,,,,,,,,,,,,
R11 900 000.00,,,,,,,,,,,,,
R11 980 000.00,,,,,,,,,,,,,
R11 999 000.00,,,,,,,,,,,,,
R12 495 000.00,,,,,,,,,,,,,
R12 500 000.00,,,,,,,,,,,,,
R12 900 000.00,,,,,,,,,,,,,
R12 950 000.00,,,,,,,,,,,,,
R12 999 000.00,,,,,,,,,,,,,
R13 499 000.00,,,,,,,,,,,,,
R13 500 000.00,,,,,,,,,,,,,
R14 499 000.00,,,,,,,,,,,,,
R15 999 000.00,,,,,,,,,,,,,
R16 500 000.00,,,,,,,,,,,,,
R16 995 000.00,,,,,,,,,,,,,
R17 999 000.00,,,,,,,,,,,,,
